ecab47e8 balance_dirty_pages_ratelimited
5bf0d3e8 bcmp
b158d034 bdev_end_io_acct
a0a8de06 bdev_file_open_by_dev
91da8ba9 bdev_file_open_by_path
aa78827c bdev_fput
f12bcb08 bdev_getblk
08d871ca bdev_start_io_acct
67fc8993 bdi_alloc
b9be336c bdi_put
3053ecc6 bdi_register
b9be336c bdi_unregister
e462da73 bh_uptodate_or_lock
555210d4 bin2hex
1c2ebef9 bio_add_page
cb715909 bio_alloc_bioset
8da3be9b bio_alloc_clone
9f1092c4 bio_chain
1cc7945e bio_endio
3446b2eb bio_init
1cc7945e bio_put
78a0d694 bioset_exit
b5492859 bioset_init
8ccbb0cd bit_wait
be6f0293 bit_waitqueue
0ba424ad bitmap_alloc
237d86c3 bitmap_find_next_zero_area_off
29bbfbca bitmap_free
134cca31 bitmap_from_arr32
ff81455e bitmap_parse
a2bb1d5d bitmap_parse_user
86872597 bitmap_parselist
9250ea66 bitmap_print_to_pagebuf
c8926591 bitmap_to_arr32
0ba424ad bitmap_zalloc
3e40cdd2 blk_execute_rq
51ff9bec blk_finish_plug
cb3b02b6 blk_get_queue
f7db52c6 blk_mq_alloc_queue
7c7e6480 blk_mq_alloc_request
f1446c8b blk_mq_alloc_tag_set
e993f98a blk_mq_complete_request
b801b1af blk_mq_delay_kick_requeue_list
a7fad0bd blk_mq_destroy_queue
1c77ac19 blk_mq_end_request
978c6853 blk_mq_free_tag_set
eb76537a blk_mq_requeue_request
609d22c4 blk_mq_rq_cpu
d1ed4350 blk_mq_run_hw_queue
0dd19ace blk_mq_run_hw_queues
e993f98a blk_mq_start_request
0dd19ace blk_mq_start_stopped_hw_queues
eae278f0 blk_mq_stop_hw_queue
6baaf1ed blk_mq_tagset_busy_iter
2e9a4cd4 blk_mq_tagset_wait_completed_request
96e4c72e blk_mq_unique_tag
6a21752f blk_pm_runtime_init
6eb41a37 blk_put_queue
238aae02 blk_queue_flag_clear
238aae02 blk_queue_flag_set
1d18a09e blk_rq_map_kern
56469f9e blk_rq_map_user
e706b648 blk_rq_map_user_io
131326ab blk_rq_map_user_iov
bfdd041d blk_rq_unmap_user
51ff9bec blk_start_plug
6eb41a37 blk_sync_queue
35081b5e blkdev_compat_ptr_ioctl
e8c93f5d blkdev_issue_discard
b75e79e0 blkdev_issue_flush
f1742b1b blkdev_issue_zeroout
dc819345 block_dirty_folio
578e3447 block_invalidate_folio
d58ac064 block_is_partially_uptodate
4d2a4d3a block_truncate_page
b5669808 block_write_begin
7f67a3bc block_write_end
0ee9517c bpf_dispatcher_xdp_func
8ee1928d bpf_stats_enabled_key
c01aafd2 brcmstb_get_family_id
c01aafd2 brcmstb_get_product_id
a8dcb248 bsearch
94aafed1 buffer_migrate_folio
c91dc6ba build_skb
4e8c53bd caches_clean_inval_pou
3156fb69 call_netdevice_notifiers
22a4e35b cancel_delayed_work
22a4e35b cancel_delayed_work_sync
35480a5b cancel_work
0c161ddc capable
8bda7402 capable_wrt_inode_uidgid
e5b515ad cdc_parse_cdc_header
67805d93 cdev_add
861e8527 cdev_alloc
0d26250f cdev_del
c211741b cdev_device_add
173cd658 cdev_device_del
c6764f2d cdev_init
3804f280 check_zeroed_user
d9e467ef clean_bdev_aliases
46564aeb cleancache_register_ops
ad93d3cd clear_inode
ad93d3cd clear_nlink
5ce70f36 clear_page
a47cb9d5 clear_page_dirty_for_io
e9afc0ee clk_bulk_get
167bc1e5 clk_bulk_put_all
499cdebe clk_get
70fff15b clk_get_sys
3574406a clk_hw_get_clk
fa1e01f6 clk_hw_register_clkdev
97ab43c4 clk_put
56f71e76 clk_register_clkdev
3115b3c3 clocksource_unregister
078cf357 close_fd
bb752c36 compat_ptr_ioctl
7da92691 complete
7da92691 complete_all
57858c37 completion_done
9e7f7f9e component_match_add_release
e9ed8a12 component_match_add_typed
08b36008 config_group_init
c7acfe4b config_group_init_type_name
244ff25e config_item_get
b4a67503 config_item_init_type_name
fa0bfd20 config_item_put
b15ad36b config_item_set_name
28224624 configfs_register_default_group
48a7e309 configfs_register_group
ef521fee configfs_register_subsystem
a5755557 configfs_unregister_default_group
a5755557 configfs_unregister_group
942d4e94 configfs_unregister_subsystem
d272d446 console_list_lock
d272d446 console_list_unlock
d272d446 console_lock
7ec472ba console_set_on_cmdline
f5742127 console_start
f5742127 console_stop
3239fbdb console_suspend_enabled
7851be11 console_trylock
d272d446 console_unlock
79e6ed1e consume_skb
1b1fde8a cont_write_begin
c9965b9f contig_page_data
b1124b9a copy_from_iter_toio
de1feec3 copy_highpage
0c3309b3 copy_page
67f20103 copy_page_from_iter
67f20103 copy_page_from_iter_atomic
67f20103 copy_page_to_iter
8a13b614 copy_splice_read
0b8a1d1e copy_to_iter_fromio
b61e3d6f cpu_all_bits
0cf27db4 cpufreq_generic_suspend
ecfe08b6 cpufreq_get
ecfe08b6 cpufreq_get_hw_max_freq
9aef30fe cpufreq_get_policy
ecfe08b6 cpufreq_quick_get
ecfe08b6 cpufreq_quick_get_max
25587f2e cpufreq_register_notifier
25587f2e cpufreq_unregister_notifier
5fb56b29 cpufreq_update_policy
e7f8d838 cpumask_any_and_distribute
18e4cd71 cpumask_local_spread
8c14ed44 cpumask_next_wrap
d34be1ec crc16
31a83776 crc32_be
31a83776 crc32_le
10aaa660 crc32c
80ecca9f crc8
fa29f41b crc8_populate_msb
d34be1ec crc_ccitt
1f3b0dfc crc_ccitt_table
d0412b29 create_empty_buffers
8f808f23 crypto_sha1_finup
c1a6fb05 crypto_sha1_update
3319e4a7 csum_ipv6_magic
f47f0295 csum_partial
e3da47a4 csum_tcpudp_nofold
2e6ac03c current_time
7851be11 current_umask
ca64a0b1 current_work
1c3ee2ff d_add
368a61ce d_add_ci
38d953da d_alloc_name
4c017e6b d_alloc_parallel
34cf4b26 d_delete
34cf4b26 d_drop
ed4834ea d_find_alias
3c0be8e7 d_hash_and_lookup
1c3ee2ff d_instantiate
34cf4b26 d_invalidate
b49c4b12 d_make_root
5072e61b d_move
ed4834ea d_obtain_alias
b4722a24 d_parent_ino
2143f9a4 d_path
e2458ec9 d_rehash
6dddf926 d_set_d_op
5f5bbdda d_splice_alias
c1366642 datagram_poll
737af31d deactivate_locked_super
737af31d deactivate_super
46fd4011 dec_node_page_state
0ed72651 dec_zone_page_state
242f0945 default_llseek
0e363e58 default_qdisc_ops
bb174260 default_wake_function
75cb3c66 del_gendisk
b0f9b474 delayed_work_timer_fn
f8ed1d54 dentry_open
c9eede9c dentry_path_raw
2d332878 dev_activate
611613de dev_add_pack
a06651e0 dev_addr_add
a06651e0 dev_addr_del
e0abba08 dev_addr_mod
946bce6b dev_alloc_name
75f1ccf4 dev_change_flags
d46b1ea5 dev_close
4eb4a36a dev_close_many
2d332878 dev_deactivate
b24ae2ee dev_driver_string
d20845b1 dev_get_by_index
d20845b1 dev_get_by_index_rcu
8dcf2ec8 dev_get_by_name
8dcf2ec8 dev_get_by_name_rcu
f7cbeff2 dev_get_flags
577c7170 dev_get_stats
b274f6a2 dev_getbyhwaddr_rcu
3022d7bc dev_getfirstbyhwtype
8944a4bc dev_graft_qdisc
bd7f79cc dev_kfree_skb_any_reason
bd7f79cc dev_kfree_skb_irq_reason
61408544 dev_load
79a16da0 dev_mc_add
79a16da0 dev_mc_del
cd179e3c dev_mc_sync
cd179e3c dev_mc_sync_multiple
18f3efff dev_mc_unsync
4830d85c dev_open
daeef402 dev_printk_emit
611613de dev_remove_pack
6e6b10a4 dev_set_allmulti
5a8e99b1 dev_set_mac_address
5ea2f710 dev_set_mtu
6e6b10a4 dev_set_promiscuity
76d83414 dev_set_threaded
79a16da0 dev_uc_add
79a16da0 dev_uc_add_excl
79a16da0 dev_uc_del
cd179e3c dev_uc_sync
cd179e3c dev_uc_sync_multiple
18f3efff dev_uc_unsync
452e9811 dev_valid_name
